LR,DT,RF,Kmeans
"[17.75        3.25       13.28       ...  3.04422308 -6.24856858
  9.47715884]",[17.7   3.25 11.39 ... 11.39  3.25 11.39],"[22.21550738  7.43850833 19.88246    ... 11.78416833  8.61695833
 10.94871833]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917    8.37  16.50
2918   25.93  45.77
2919   33.13   5.89
2920   25.93   3.25
2921   11.88   5.85

[2922 rows x 2 columns]"
"[17.75        3.25       13.28       ... -8.13053141  1.75759146
 20.174277  ]","[14.59333333  3.24333333 14.59333333 ... 11.955       3.24333333
  8.37      ]","[22.53547302  3.97565683 17.70902565 ...  7.04768448  4.42180527
  5.72657087]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917    8.37  16.50
2918   25.93  45.77
2919   33.13   5.89
2920    3.96   3.25
2921   11.88   5.85

[2922 rows x 2 columns]"
"[17.75        3.25       13.28       ...  4.94725862  4.43445783
 16.2451132 ]",[14.386  4.294 14.386 ...  4.294  4.294  4.294],"[23.30599252  5.53174209 17.44422807 ...  7.31851764  5.202388
  7.28459676]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917    8.37  16.50
2918   25.93  45.77
2919   33.13   5.89
2920    3.96   3.25
2921   11.88   5.85

[2922 rows x 2 columns]"
"[17.58851186  6.08006025 12.62702705 ...  6.34863883 10.10956903
 13.65073897]","[14.386       4.18294118 14.386      ...  4.18294118  4.18294118
  4.18294118]","[22.32146192  4.33472352 17.15930631 ...  5.6586135   4.78412691
  6.17607519]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917    4.25  16.50
2918   25.93  45.77
2919   44.56   5.89
2920    3.96   3.25
2921   11.88   5.85

[2922 rows x 2 columns]"
"[17.87110605  2.85985612 15.3455037  ...  7.79534421 -6.24229874
  1.9249206 ]","[14.386       4.18863636 14.386      ...  4.18863636  4.18863636
  4.18863636]","[23.07421071  4.26801559 17.31548499 ...  5.00786188  4.35924065
  5.53132476]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917    4.25  16.50
2918   25.93  45.77
2919   44.56   5.89
2920    3.96   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[17.71859074  2.37496107 16.2340211  ...  7.11240314  0.35690945
  5.51207443]","[13.45333333  4.37103448 13.45333333 ...  4.37103448  4.37103448
  4.37103448]","[24.20662862  4.31159245 15.51644378 ...  4.7152296   4.98320968
  6.01407367]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917    4.25  16.50
2918   25.93  45.77
2919    2.50   5.89
2920    3.96   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[17.97641167  1.10943082 16.30567552 ...  8.29928006  3.3283254
  8.58483289]","[12.96888889  4.515      12.96888889 ...  4.515       4.515
  4.515     ]","[23.61398496  4.51170333 16.06286471 ...  5.17037275  5.39481648
  6.78672482]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917    4.25  16.50
2918   25.93  45.77
2919    2.50   5.89
2920    3.96   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[18.06866402 -0.05319493 15.64548666 ...  6.0781327   5.5996292
  9.97988639]","[12.96888889  4.486      12.96888889 ...  4.486       4.486
  4.486     ]","[26.42338001  4.59155993 14.41038763 ...  5.00321538  5.26478127
  6.37514779]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917    4.25  16.50
2918   11.95  45.77
2919    2.50   5.89
2920    3.96   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[17.78959833  2.52482984 16.04669891 ...  8.1379687   0.72050714
  7.05660006]","[14.88764706  4.42418605 14.88764706 ...  4.42418605  4.42418605
  4.42418605]","[22.43880837  4.48482459 16.99150388 ...  4.99835838  5.21966303
  6.21077421]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917    4.25  16.50
2918   11.95  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
"[17.92655676  2.01656664 16.01529101 ...  8.34620178  1.31781956
  7.47560452]","[14.632       4.42702128 14.632      ...  4.42702128  4.42702128
  4.42702128]","[22.19886246  4.3152203  17.61607013 ...  4.76264672  4.68998165
  5.28870669]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917    4.25  16.50
2918   11.95  45.77
2919    5.85   5.89
2920    4.50   3.25
2921    9.18   5.85

[2922 rows x 2 columns]"
